y,Voxel Count,Gray Levels,Energy,Entropy,Maximum Intensity,Mean Intensity,Median Intensity,Range,Mean Deviation,Root Mean Square,Standard Deviation,Skewness,Kurtosis,Variance,Uniformity,Volume mm^3,Volume cc,Surface Area mm^2,Surface:Volume Ratio,Compactness 1,Compactness 2,Maximum 3D Diameter,Spherical Disproportion,Sphericity,Autocorrelation,Cluster Prominence,Cluster Shade,Cluster Tendency,Contrast,Correlation,Difference Entropy,Dissimilarity,Energy (GLCM),Entropy(GLCM),Homogeneity 1,Homogeneity 2,IMC1,IDMN,IDN,Inverse Variance,Maximum Probability,Sum Average,Sum Entropy,Sum Variance,Variance (GLCM),SRE,LRE,GLN,RLN,RP,LGLRE,HGLRE,SRLGLE,SRHGLE,LRLGLE,LRHGLE,Extruded Surface Area,Extruded Volume,Extruded Surface:Volume Ratio,Box-Counting Dimension,Correlation Dimension
0,19412,207,126765086,143019.8158,192,75.51298166,77,241,22.81613076,80.8084154,28.77556356,-0.254735761,0.212187783,828.0330583,3759760,10826.62005,10.82662005,5095.821278,0.470675174,20.62727384,0.100183362,45.81425287,1.32E-05,0.464442407,238242825.4,1.37E+12,11255212430,108847651.2,13855482.15,-8176.405189,143423.6927,386633.3846,54802.92308,-252514.3497,1782.408166,789.2180225,-1.815201225,17415.84615,17415.84615,821.041911,11.92307692,4015798.462,-112768.4875,1.20E+13,243539656.6,0.926994733,6.760929016,174.5345859,15118.71929,0.91968489,0.000202736,13697.92693,0.000175552,12898.63658,0.004321144,67742.5776,1158283.583,819967.5553,1.412596847,2.287533632,-78.47104002
0,4752,164,21763541,26228.32724,183,62.62184343,63,230,20.43470957,67.66830868,25.6588087,-0.124015189,0.165927404,658.3744639,254430,3864.977869,3.864977869,2216.366185,0.57344861,12.82757014,0.155175034,31.94140517,4.50E-05,0.537370659,33220603.92,1.77E+12,11101851378,73531038.5,3328711.692,29514.66664,25220.19164,91832.61538,6472.153846,-43823.12097,415.757631,182.3278089,-1.912751724,4102.923077,4102.923077,195.278189,5.538461538,728210.9231,-19073.32533,1.25E+11,34773752.54,0.908794972,3.292212705,49.79781969,3597.650028,0.940753691,0.000524226,8352.965841,0.00042859,7682.236643,0.011864522,25392.70506,396308.6,242892.5496,1.631621063,2.360459774,-37.89771597
0,32943,240,237374288,259662.4897,207,77.62960265,79,257,27.0596856,84.88227141,34.34022543,-0.351791368,0.399400496,1179.251083,9155035,20358.14667,20.35814667,9569.805908,0.47007255,25.48166975,0.053483456,51.00324074,7.01E-06,0.376767258,524467367.5,1.07E+12,3251261851,105942273.9,34220469.69,-21063.14083,258271.1596,768087.2308,108514.4615,-459147.9704,2761.419675,1191.456546,-1.800431082,29539.23077,29539.23077,1237.151824,14.07692308,7755357.231,-206567.2201,5.38E+13,537604709.6,0.920026985,4.319309114,251.6507608,25133.14212,0.922313366,0.000510322,17691.1056,0.0004769,16536.00402,0.00165151,58714.74164,2250897.034,1596718.185,1.409702134,2.440067523,-84.65516594
0,33178,241,223727619,265939.8404,203,75.87621315,77,253,24.50541359,82.11577193,31.40147134,-0.235210068,0.554389693,986.0524024,10302042,21076.88658,21.07688658,8449.486323,0.400888731,28.66451848,0.083286453,54.95926717,5.77E-06,0.43670831,498124145.7,7.39E+11,-158874521.1,79854681.46,34123448.46,-19992.61691,264632.4141,798164,122615.7692,-478284.0887,2705.874501,1141.961327,-1.790817668,30183,30183,1177.937034,15.46153846,7669965.692,-217150.6875,7.25E+13,511204989.6,0.934048938,5.78691055,274.7555445,25997.88983,0.910763388,0.000270686,16847.64557,0.000214602,15825.65215,0.003579699,91327.6332,2444401.554,1609545.992,1.518690094,2.429246657,-85.22617172
0,30208,243,178075703,235142.28,209,69.1605866,69,259,26.34513001,76.77239087,33.34363707,-0.012470469,0.204999461,1111.798133,7862154,17344.05152,17.34405152,7393.409645,0.426279271,25.78373162,0.084181987,52.28715267,7.46E-06,0.438267962,409256455.9,9.33E+11,3810042692,90500893.77,34782633.46,-24189.32185,235359.8384,764669.1538,92688.61538,-421447.5547,2403.071729,1013.030155,-1.812686411,27480.61538,27480.61538,1056.396582,12.84615385,6605604.692,-190323.1409,3.70E+13,423577558,0.929801447,5.78552748,234.8422817,23672.38058,0.919960072,0.000359525,15347.68778,0.000339212,14357.80916,0.003295953,82110.65252,2048142.618,1210315.432,1.692238703,2.40301982,-82.84412148
0,3438,201,24036055,16581.06704,193,77.78679465,77,243,23.62503431,83.61220007,30.667647,-0.064952795,0.878449437,940.5045726,117148,2184.047745,2.184047745,2047.11151,0.93730163,7.642923717,0.062885733,32.93832518,0.000130232,0.397665007,31168056.31,4.82E+12,21403824296,99895251.42,2861404.769,143612.177,13884.62828,65384.61538,3358.153846,-23256.55165,251.7567088,111.3410212,-1.949357534,2599.692308,2599.692308,115.784979,4.230769231,561344,-9864.886703,36352216718,32562124.7,0.854631923,10.1506225,31.57236049,2299.848343,0.932899271,0.00070242,12026.46677,0.000453347,10527.55788,0.023875416,98797.03857,306765.3545,170825.1863,1.795785277,2.273276016,-35.827332
0,26891,258,233927389,206781.1104,236,87.63418988,87,286,24.91814032,93.26842981,31.92717819,0.079271675,0.645021585,1019.344707,6659027,17649.17601,17.64917601,6877.497639,0.389678115,27.53357036,0.108295371,53.9009585,6.70E-06,0.476654061,408174694.4,3.14E+12,21451836763,178210264.5,26591900.08,-14408.52235,206537.3794,627141.6154,84333.69231,-368858.4486,2242.623021,955.0793848,-1.808558485,24330.61538,24330.61538,988.2871234,13.30769231,6222319.462,-166118.6085,3.52E+13,419196724.5,0.934202244,7.921456162,221.6649648,21250.05771,0.916981089,0.000305258,17084.72703,0.000291581,16124.23125,0.003032976,113387.2145,2042763.487,1549279.469,1.318524855,2.385573534,-82.87341995
0,17338,253,145108788,121010.7437,228,84.96885454,86,278,26.24572398,91.48223871,33.90724557,-0.225303081,0.705210453,1149.701302,2649690,10893.86281,10.89386281,5740.828132,0.526978193,19.17008043,0.070940222,51.01550347,1.47E-05,0.41396553,282967861.8,1.34E+13,68751242800,377204929.3,16830531.46,9873.710449,120169.3459,390889.1538,38532.84615,-210655.066,1451.238494,629.6216963,-1.848579786,15340.23077,15340.23077,661.6276783,10.07692308,4109942.385,-93484.88162,9.01E+12,290397882.2,0.901503518,11.13871847,138.9193297,12867.11883,0.925348501,0.000211926,18584.46417,0.000191892,16978.91398,0.002054301,178531.5351,1320948.746,930689.5038,1.419322707,2.257873403,-77.18112336
0,6123,175,53183757,35571.6944,183,89.20610812,90,232,21.4497446,93.1933474,26.98460401,-0.16377663,0.214482943,728.1688538,401291,4260.507693,4.260507693,2485.431667,0.58336514,13.1004194,0.133711758,34.04998983,4.16E-05,0.511355816,51198611.15,2.72E+12,16342998423,103784944.6,4957282.077,27095.29302,34215.62964,128118.8462,8865.076923,-60042.84346,511.8201697,220.643924,-1.904374613,5329.384615,5329.384615,231.2020129,6.153846154,1031632.231,-26339.5035,3.00E+11,53497679.39,0.925028312,2.763047069,60.49793975,4811.278025,0.937989171,0.000440234,9800.600272,0.000413876,9209.035875,0.001169381,23447.05984,532015.2087,380273.4477,1.39903328,2.446381742,-40.15197059
0,11438,210,70567841,73623.59765,182,71.57973422,71,232,25.83216782,78.54298186,32.34096195,0.014247998,-0.018683093,1045.93782,1153418,7186.757572,7.186757572,3417.176389,0.475482351,17.87227319,0.146391605,37.18481459,2.01E-05,0.52703411,120468358.5,4.41E+12,25902203127,165800183.1,13221867.62,7469.682053,73036.9781,291853.7692,19141.23077,-129007.1957,860.7500255,354.2246837,-1.890466807,10252.76923,10252.76923,371.615431,7.230769231,2186171.154,-57161.69318,1.61E+12,126571111,0.924967124,4.239067277,93.28185779,9048.313427,0.9383499,0.000298388,12229.80364,0.000278422,11470.77422,0.0011613,44207.09307,892743.8336,516463.2198,1.728571947,2.149002619,-72.04596691
